source	reference	first_translation	first_bleu	first_comet	reflection	second_translation	second_bleu	second_comet	second_correct
_Kopisha indawo	_Copy Location	Copy the place	0	0.6200770139694214	"Error Diagnosis: Incorrect phrasing
Minimal Correction: Use appropriate term
Must-Preserve: indawo
Factual Detail: Maintain the meaning of ""location"" in the translation."	Duplicate the location	0	0.6155130863189697	FALSE
Hlela uhlelo lokuqala kabusha	Edit Startup Program	Organize the initial program again	0	0.5071181058883667	"Error Diagnosis: Loss of specificity
Minimal Correction: Use specific terminology
Must-Preserve: Startup Program
Factual Detail: Emphasize the specific nature of the program being referenced."	Revise the startup program afresh	0	0.5883355736732483	FALSE
Vala ubuso besiga-nyezi	background, style	Close the face of the rain-maker	0	0.3534841239452362	"Error Diagnosis: Literal phrasing
Minimal Correction: Use appropriate context
Must-Preserve: Vala, ubuso, besiga-nyezi
Factual Detail: Express the concept of 'closing the face of the sun' as background or style."	Close the face of the sun	0	0.3798142969608307	FALSE
Umphelelo wesikhathi _sokulinda:	Maximum _wait time:	The conclusion of the waiting period:	0.032359348	0.6206947565078735	"Error Diagnosis: Misinterpretation of meaning.
Minimal Correction: Use the term ""maximum wait time.""
Must-Preserve: ""umphelelo wesikhathi""
Factual Detail: Emphasize the concept of waiting time."	The maximum waiting time:	0.12121093525642128	0.8013994693756104	TRUE
_Ithuluzi kokumele	_Toolbar	The tool that is necessary	0	0.48759713768959045	"Error Diagnosis: Misinterpretation
Minimal Correction: Replace with correct term
Must-Preserve: Ithuluzi, kokumele
Factual Detail: The translation should accurately reflect the term ""Ithuluzi kokumele"" as ""Toolbar""."	Toolbar	0	0.9043678641319275	TRUE
Hlanza ukhiphi miphumela	Debugging output	Clean out the results	0	0.46637827157974243	"Error Diagnosis: Literal phrasing
Minimal Correction: Use technical term
Must-Preserve: Hlanza, miphumela
Factual Detail: Technical process of debugging output."	Debug where the results are coming from	0	0.5891845226287842	FALSE
Vula uhlamvu olukhethiwe efasiteleni	Move the current selection to the other pane in the window	Open the selected character in the window	0.11716964002269797	0.6273723244667053	"Error Diagnosis: Incorrect interpretation
Minimal Correction: Use correct action verb
Must-Preserve: selected character, other pane
Factual Detail: Move action, not open."	Move the selected character to the other pane	0.2825677270462821	0.8026789426803589	TRUE
Ukuzazisa	ID	Self-awareness	0	0.4883328676223755	"Error Diagnosis: Incorrect translation
Minimal Correction: Use proper terminology
Must-Preserve: ID
Factual Detail: The term refers to a specific aspect of self-awareness."	Self-awareness	0	0.4883328676223755	FALSE
Okujikelele	General	Circular	0	0.6461637020111084	"Error Diagnosis: Inaccurate translation
Minimal Correction: Change from ""Circular"" to ""General""
Must-Preserve: Okujikelele
Factual Detail: Reflects the overall or general nature of the original isiZulu term."	General	1	0.9844248294830322	TRUE
Akuphumelelanga ukuguqula isithombe	Couldn't convert image	It was not possible to change the image.	0.02573285	0.695972204	"Error Diagnosis: Literal phrasing
Minimal Correction: Use more idiomatic expression
Must-Preserve: Couldn't convert image
Factual Detail: Express the inability to change the image accurately."	The image couldn't be altered.	0.038481967	0.6957389116287231	FALSE
Izithombe zonke	_Image	All the pictures	0	0.6382977962493896	"Error Diagnosis: Over-generalization
Minimal Correction: Use singular form
Must-Preserve: Image
Factual Detail: Emphasize individual images rather than a collection."	Each image	0	0.6030896306037903	FALSE
Gcina isithombe	Save Image	Keep the picture	0	0.5860963463783264	"Error Diagnosis: Incorrect verb choice
Minimal Correction: Change ""keep"" to ""save""
Must-Preserve: Image
Factual Detail: The action is for preserving a digital file."	Save the image	0.0724975	0.9091619849205017	TRUE
