dataset	index_in_dataset	lang_code	source	reference	translation	comet_score
ds_zu	0	zu	_Kopisha indawo	_Copy Location	_Kopisha indawo	0.6654992699623108
ds_zu	1	zu	Hlela uhlelo lokuqala kabusha	Edit Startup Program	Hlela uhlelo lokuqala kabusha	0.5104656219482422
ds_zu	2	zu	offline	offline	offline	0.9901649355888367
ds_zu	3	zu	Amafonti	Fonts	Amafonti	0.7355183959007263
ds_zu	4	zu	Vala ubuso besiga-nyezi	background, style	Vala ubuso besiga-nyezi	0.46236899495124817
ds_zu	5	zu	Umphelelo wesikhathi _sokulinda:	Maximum _wait time:	Umphelelo wesikhathi _sokulinda:	0.5420253872871399
ds_zu	6	zu	_Ithuluzi kokumele	_Toolbar	_Ithuluzi kokumele	0.6914045810699463
ds_zu	7	zu	Usuzokhetha enye i-akhawunti, ezolahla izinguquko zakho. Uqinisekile ukuba uyafuna ukuqhubeka?	You are about to select another account, which will discard your changes. Are you sure you want to proceed?	Usuzokhetha enye i-akhawunti, ezolahla izinguquko zakho. Uqinisekile ukuba uyafuna ukuqhubeka?	0.4747837781906128
ds_zu	8	zu	Ngakhoni ukuvula %s yokubhalela	Can't open %s for writing	Ngakhoni ukuvula %s yokubhalela	0.4688229262828827
ds_zu	9	zu	Iphrofayili isiyatholakala kakade	Profile already exists	Iphrofayili isiyatholakala kakade	0.457716167
ds_zu	10	zu	Iphutha	Error	Iphutha	0.6404662132263184
ds_zu	11	zu	imvume inqatshiwe	permission denied	imvume inqatshiwe	0.3867843449115753
ds_zu	12	zu	Yini igama lakho lokungena le-Google?	What is your Google password?	Yini igama lakho lokungena le-Google?	0.37056368589401245
ds_zu	13	zu	Hlanza ukhiphi miphumela	Debugging output	Hlanza ukhiphi miphumela	0.4965793192386627
ds_zu	14	zu	Vula uhlamvu olukhethiwe efasiteleni	Move the current selection to the other pane in the window	Vula uhlamvu olukhethiwe efasiteleni	0.3040928840637207
ds_zu	15	zu	Hhayi manje	Not now	Hhayi manje	0.6678289771080017
ds_zu	16	zu	Ngakhoni ukuvula %s yokubhalela	Can't open %s for writing	Ngakhoni ukuvula %s yokubhalela	0.4688229262828827
ds_zu	17	zu	Amazwana	Comment	Amazwana	0.6416953206062317
ds_zu	18	zu	Ukuzazisa	ID	Ukuzazisa	0.6381322741508484
ds_zu	19	zu	Okujikelele	General	Okujikelele	0.6190254092216492
ds_zu	20	zu	u-%s uceda ukuzama ukukushayela ucingo, kepha bowukolunye ucingo.	%s just tried to call you, but you were in another call.	u-%s uceda ukuzama ukukushayela ucingo, kepha bowukolunye ucingo.	0.33706215023994446
ds_zu	21	zu	Akuphumelelanga ukuguqula isithombe	Couldn't convert image	Akuphumelelanga ukuguqula isithombe	0.4893895089626312
ds_zu	22	zu	Izithombe zonke	_Image	Izithombe zonke	0.6162589192390442
ds_zu	23	zu	%s: Authdir %s asiphethwe ngumsebenzisi %s, iqembu %s. Ngiyaphunza.	%s: Authdir %s is not owned by user %s, group %s. Aborting.	%s: Authdir %s asiphethwe ngumsebenzisi %s, iqembu %s. Ngiyaphunza.	0.5436732769012451
ds_zu	24	zu	Iya endaweni yasekhaya	Go to the home location	Iya endaweni yasekhaya	0.44528865814208984
ds_zu	25	zu	Gcina isithombe	Save Image	Gcina isithombe	0.45480191707611084
ds_zu	26	zu	Cisha	Shut Down	Cisha	0.5863504409790039
ds_zu	27	zu	Ukugcwaliswa	Saturation	Ukugcwaliswa	0.5516360402107239
ds_zu	28	zu	I-akhawunti entsha	Adding new account	I-akhawunti entsha	0.5392827391624451
ds_zu	29	zu	Akunasithombe esifakiwe.	Image loading failed.	Akunasithombe esifakiwe.	0.36829689145088196
ds_zu	30	zu	Inkino_bho:	_Bottom:	Inkino_bho:	0.6185829043388367
ds_zu	31	zu	M_ayelana	_About	M_ayelana	0.6254685521125793
ds_zu	32	zu	Hambisa uhlamvu olukhethiwe ngalunye ukuya kudoti	Move the selected file out of the trash to “%s”	Hambisa uhlamvu olukhethiwe ngalunye ukuya kudoti	0.2980564534664154
ds_zu	33	zu	Imininingwane	Details	Imininingwane	0.5477325916290283
ds_zu	34	zu	Wamukelekile	Welcome	Wamukelekile	0.5575681924819946
ds_zu	35	zu	Hlela umlayezo oqokiwe…	Edit Custom Messages…	Hlela umlayezo oqokiwe…	0.3995110094547272
ds_zu	36	zu	Amandla e GNOME asemandleni omphakathi wethu. Empeleni wonke umuntu, onokuhlakanipha kokubhala izinhelo nongenakho, angabanomthelele ukwenza ngcono GNOME.	GNOME's greatest strength is our strong community. Virtually anyone, with or without coding skills, can contribute to making GNOME better.	Amandla e GNOME asemandleni omphakathi wethu. Empeleni wonke umuntu, onokuhlakanipha kokubhala izinhelo nongenakho, angabanomthelele ukwenza ngcono GNOME.	0.40752801299095154
ds_zu	37	zu	Ayikwazanga ukubhala iphrojekthi.	Unable to write a project.	Ayikwazanga ukubhala iphrojekthi.	0.6085529327392578
ds_zu	38	zu	_Jikeliza isikhala sohlu oloqonde-thwi	_Rotate on vertical panels	_Jikeliza isikhala sohlu oloqonde-thwi	0.396898091
ds_zu	39	zu	Isihloko: %s Isikhathi sokuqala: %s	Title: %s Start time: %s	Isihloko: %s Isikhathi sokuqala: %s	0.8308767080307007
ds_zu	40	zu	Okunye	Other	Okunye	0.6882423758506775
ds_zu	41	zu	Yeka iNautilus.	Quit Nautilus.	Yeka iNautilus.	0.7154041528701782
ds_zu	42	zu	_Ibizo:	_Title:	_Ibizo:	0.8183242678642273
ds_zu	43	zu	Gcina isithombe	Save Image	Gcina isithombe	0.45480191707611084
ds_zu	44	zu	Uma kuyiqiniso, isifanekiso senhlanzi sizobonakaliswa sijikeliswa endaweni yohlu oluqonde-thwi.	If true, the fish's animation will be displayed rotated on vertical panels.	Uma kuyiqiniso, isifanekiso senhlanzi sizobonakaliswa sijikeliswa endaweni yohlu oloqonde-thwi.	0.36336013674736023
ds_zu	45	zu	_Imniningwane yendikima	Show details	_Imniningwane yendikima	0.3721783459186554
ds_zu	46	zu	Cacisa ifayela eliqukethe izilungiselelo ezigciniwe	Specify file containing saved configuration	Cacisa ifayela eliqukethe izilungiselelo ezigciniwe	0.37401846051216125
ds_zu	47	zu	Yini i-ID yakho ye-Google?	What is your Google ID?	Yini i-ID yakho ye-Google?	0.8830684423446655
ds_zu	48	zu	Okujikelele	General	Okujikelele	0.6190255284309387
ds_zu	49	zu	_Ungayenzi	_Undo	_Ungayenzi	0.9175692200660706
ds_zu	50	zu	Okuthandwa iNhlanzi	Fish Preferences	Uthando Inhlanzi	0.3867513835430145
ds_zu	51	zu	Ifayela elivumelekile .ifayela lobuso bekhomphyutha	File is not a valid .desktop file	Ifayela Eligunyazwe. Ifayela Lobuso Bekhompyutha	0.3408087193965912
ds_zu	52	zu	Lelifasitela lesilinganisi liguqula izinhlelo ze GDM daemon, isiqhamisi sesibuko somngenisi we-GNOME. Izinguquko ozozenza zofezeka manjalo. Qaphela ukuthi khetho lwezilinganisi oluhlelwe lapha. Ungafuna ukuhlela %s uma ungatholi lokho okufunayo. Bheka isiyaluzi sosizo ku-GNOME Ngaphansi kohlobo lwe-GNOME/Hlelo ukuthola umbhalo ophelele.	This configuration window changes settings for the GDM daemon, which is the graphical login screen for GNOME. Changes that you make will take effect immediately. Note that not all configuration options are listed here. You may want to edit %s if you cannot find what you are looking for. For complete documentation see the GNOME help browser under the "Desktop" category.	Lelifasitela Lesilinganisi Liguqula Izinhlelo ze-GDM Daemon, Isiqhamisi Sesibuko Somngenisi we-GNOME. Izinguquko Ozozenza Zofezeka Manjalo. Qaphela Ukuthi Khetho Lwezilinganisi Oluhlelwe Lapha. Ungafuna Ukuhlela %s Uma Ungatholi Lokho Okufunayo. Bheka Isiyaluzi Sosizo ku-GNOME Ngaphansi Kohlobo Lwe-GNOME/Hlelo Ukuthola Umbhalo Ophelele.	0.28641530871391296
ds_zu	53	zu	Ayaziwa	Unknown	Ayaziwa	0.6268652081489563
ds_zu	54	zu	Isikhala esivulekile esinganele sokugcina ifayela	Insufficient free space to save file	Isikhala Esivulekile Esinganele Sokugcina Ifayela	0.26499173045158386
ds_zu	55	zu	Jikisa ukulandelana kohlu	Reverse the list order	Jikisa Ukulandelana Kohlu	0.45868584513664246
ds_zu	56	zu	Amaqembu	Groups	Amaqembu	0.5409026741981506
ds_zu	57	zu	Vala lelifasitela lamanjeGame	Close the current window	Vala Lelifasitela Lamanye Game	0.29426252841949463
ds_zu	58	zu	_Lungisa	_Debug	_Lungisa	0.7779327630996704
ds_zu	59	zu	_Inhlobo:	_Title:	_Inhlobo:	0.8892515301704407
ds_zu	60	zu	Hlola ohele ngogama-hele kuphela	Search for files by file name only	Hlola Ohele Ngogama-Hele Kuphela	0.24697893857955933
ds_zu	61	zu	Ukuma	Orientation	Ukuma	0.6541523933410645
ds_zu	62	zu	_Isibekisi-bhukwini	_Bookmarks	_Isibekisi-Bhukwini	0.5105060338973999
ds_zu	63	zu	Yini igama lokungena lakho le-Windows Live?	What is your Windows Live password?	Yini Igama Lokungena Lakho Le-Windows Live?	0.3974480926990509
ds_zu	64	zu	_Ukubala	Countdown length	_Ukubala	0.5545171499252319
ds_zu	65	zu	i-GDM iqala futhu ...	Restarting computer...	I-GDM Iqala Futhu ...	0.46302881836891174
ds_zu	66	zu	Fiphele	%l:%M %p	Fiphele	0.5140236616134644
ds_zu	67	zu	_Ungenzi	_Undo	_Ungenzi	0.8631681203842163
ds_zu	68	zu	imali enganele yokwazi ukuthumela umlayezo	insufficient balance to send message. Top up.	Imali Enganele Yokwazi Ukuthumela Umlayezo	0.3154285252094269
ds_zu	69	zu	Iya kwikhasi	Go to Pa_ge	Iya Kwikhasi	0.631534219
ds_zu	70	zu	A-M_BAR_Isingisi (Canada)	A-M_BAR_English (Canada)	A-M_BAR_Isingisi (Canada)	0.9125641584396362
ds_zu	71	zu	Kuhluleke ukuphrinta ikhasi %d: %s	Failed to print page %d: %s	Kuhluleke Ukuphrinta Ikhasi %d: %s	0.4962975084781647
ds_zu	72	zu	_Vula idokhumende	_Unlock Document	_Vula Idokhumende	0.47801944613456726
ds_zu	73	zu	Ikhasi	Page	Ikhasi	0.60249263
ds_zu	74	zu	%s ayinamsebenzi. Ithatha isikhala ecwecweni nongqoqelelo sikhathi, uma ihlohliwe izothatha isikhalo esibalulekile esikhaleni sohlu nemqondo. Uma utholakala uyisebenzisa, makaphuthumiswe ahlolwe ingqondo.	%s has no use what-so-ever. It only takes up disk space and compilation time, and if loaded it also takes up precious panel space and memory. Anybody found using it should be promptly sent for a psychiatric evaluation.	%s Ayinamsebenzi. Ithatha Isikhala Ecwecweni Nongqoqelelo Sikhathi, Uma Ihlohliwe Izothatha Isikhalo Esikhaleni Sohlu Nemqondo. Uma Utholakala Uyisebenzisa, Makaphuthumiswe Ahlolwe Ingqondo.	0.315561444
ds_zu	75	zu	Indawo ngezi(usuku)	Location at (date)	Place with (day)	0.610876739
ds_zu	76	zu	Cima umnlandu	Clea_r History	Close the case	0.6549545526504517
ds_zu	77	zu	Uhlobo	Type	Type	0.9797824025154114
ds_zu	78	zu	Into engakwazi ukuqaliswa	Not a launchable item	Something that can be started	0.6077451109886169
ds_zu	79	zu	Hl_ela	_Edit	Hl_ela	0.6818607449531555
ds_zu	80	zu	We Romeo, Romeo ukuphi?	O Romeo, Romeo, wherefore art thou Romeo?	Where are you Romeo, Romeo?	0.7596672773361206
ds_zu	81	zu	Tshengisa uhlu _lwezisebenziso ezaziwayo	List of locations	Show list of known uses	0.6968746781349182
